{-7.892049268088972, 8.500272570136026}	{-12.598057960756167, 6.508055364553546}	{-16.187784145559082, 3.9741964403543695}	{-18.3098404124362, 1.14672756347234}	{-18.756505108750176, -1.6975789122892708}	{-17.48405558192987, -4.280302451634407}	{-14.617048057337616, -6.348628079638945}	{-10.436125207096525, -7.700093672961772}	{-5.350544889990584, -8.202408363113976}	{0.14188085922028137, -7.806402088391218}	{5.503515140222918, -6.550838702101316}	{10.209523832890106, -4.558621496518838}	{13.799250017693021, -2.024762572319661}	{15.92130628457014, 0.8027063045623689}	{16.367970980884117, 3.6470127803239794}	{15.09552145406381, 6.229736319669116}	{12.228513929471559, 8.298061947673654}	{8.047591079230468, 9.649527540996482}	{2.9620107621245264, 10.151842231148686}	{-2.5304149870863384, 9.755835956425928}
{-7.326555761381103, -1.7156238095457903}	{-6.41597421779789, -7.248454400369479}	{-4.639757910613198, -11.730526521998717}	{-2.1717752676009816, -14.723103726735697}	{0.7463903746945328, -15.933251707269338}	{3.82908863114988, -15.242512747668243}	{6.774563518001499, -12.718501189959483}	{9.294491430994075, -8.608284871234186}	{11.142204268633732, -3.3142004023302025}	{12.13683502459996, 2.645530342880701}	{12.18102231049882, 8.687527395171529}	{11.270440766915607, 14.220357985995207}	{9.494224459730916, 18.702430107624448}	{7.0262418167186995, 21.69500731236143}	{4.108076174423186, 22.90515529289507}	{1.0253779179678382, 22.214416333293975}	{-1.9200969688837803, 19.69040477558522}	{-4.440024881876359, 15.58018845685992}	{-6.287737719516015, 10.286103987955936}	{-7.282368475482244, 4.326373242745033}
{6.524582854271928, -2.928419616186253}	{10.593237913469105, 0.43342937268916515}	{13.397168684970433, 4.001522261227859}	{14.661906888726925, 7.426589257134683}	{14.263651137405681, 10.373360939005295}	{12.241385478757, 12.553386763252616}	{8.79306336540277, 13.753270613066263}	{4.256230591671018, 13.85555949714411}	{-0.9250160405727486, 12.850240666824053}	{-6.243500011096502, 10.835721733685984}	{-11.178611052808618, 8.009197846884195}	{-15.247266112005791, 4.647348858008781}	{-18.051196883507117, 1.0792559694700878}	{-19.31593508726361, -2.3458110264367376}	{-18.917679335942367, -5.292582708307349}	{-16.895413677293686, -7.472608532554672}	{-13.447091563939457, -8.672492382368318}	{-8.910258790207706, -8.774781266446166}	{-3.7290121579639397, -7.769462436126108}	{1.5894718125598142, -5.754943502988041}
{6.84993733209654, 1.6653834750427376}	{7.620176719170842, 3.6804767613713594}	{7.899027175488522, 5.514255865104948}	{7.659192875519834, 6.98721771087976}	{6.924150471569542, 7.955178530502711}	{5.765851035477867, 8.323387574769514}	{4.297676986396182, 8.05580197696407}	{2.6633434296187035, 7.178614879778061}	{1.0228303207542735, 5.777691468005938}	{-0.46327748697451954, 3.9901638859993156}	{-1.6495094070252394, 1.9910077879219994}	{-2.4197487940995392, -0.024085498406619443}	{-2.698599250417219, -1.8578646021402085}	{-2.4587649504485327, -3.33082644791502}	{-1.72372254649824, -4.298787267537972}	{-0.5654231104065652, -4.666996311804775}	{0.9027509386751198, -4.39941071399933}	{2.5370844954525986, -3.5222236168133225}	{4.177597604317029, -2.1213002050411998}	{5.663705412045822, -0.33377262303457744}
{-6.748358376230769, 5.523804964961444}	{-9.938193935328322, 4.575068212895189}	{-12.444790831029305, 3.1950000021056635}	{-14.022785894695001, 1.5186910245655723}	{-14.517713974955711, -0.28976991747204195}	{-13.881128062948813, -2.0533580667122404}	{-12.17534162309639, -3.599441127466227}	{-9.567328917044179, -4.776677717553299}	{-6.312380399553575, -5.469831717246104}	{-2.7291131100764083, -5.611052383566816}	{0.8317177830020555, -5.186516053753722}	{4.021553342099604, -4.2377793016874685}	{6.528150237800588, -2.8577110908979426}	{8.106145301466285, -1.1814021133578512}	{8.601073381726994, 0.6270588286797629}	{7.964487469720096, 2.3906469779199617}	{6.258701029867673, 3.9367300386739483}	{3.650688323815464, 5.113966628761021}	{0.39573980632485917, 5.807120628453827}	{-3.1875274831523073, 5.948341294774537}
{3.0270626854161287, 7.958728008468686}	{-0.8385257668799091, 10.045362215342639}	{-4.4676095554013315, 11.092005589600946}	{-7.504948673614093, 10.996205385378014}	{-9.65322720624152, 9.767339194142453}	{-10.702156682573365, 7.525697000706616}	{-10.54906057714487, 4.490706361403544}	{-9.208925003438663, 0.9594533060314234}	{-6.812931768682693, -2.7223985126631587}	{-3.5956173845613657, -6.1944437856963255}	{0.12808500066010842, -9.116814530581706}	{3.993673452956142, -11.203448737455656}	{7.622757241477563, -12.250092111713961}	{10.660096359690327, -12.15429190749103}	{12.808374892317751, -10.925425716255472}	{13.857304368649599, -8.683783522819633}	{13.704208263221103, -5.648792883516562}	{12.364072689514897, -2.1175398281444417}	{9.968079454758929, 1.5643119905501406}	{6.7507650706376, 5.036357263583307}
{-0.46454874219020326, 8.63924863937225}	{-3.4176788075239015, 10.269650849442868}	{-6.19676639789309, 11.099744651506075}	{-8.529775056910616, 11.048274680612316}	{-10.188333642004704, 10.120279176125052}	{-11.010090883009179, 8.40659680374837}	{-10.914607455655156, 6.074974734017664}	{-9.911229943084209, 3.3536483804843913}	{-8.098175927168985, 0.509000127227998}	{-5.652919767277391, -2.1805160348929657}	{-2.814820173441082, -4.451631524969128}	{0.13830989189261156, -6.082033735039744}	{2.9173974822617996, -6.9121275371029505}	{5.250406141279328, -6.860657566209191}	{6.908964726373414, -5.9326620617219294}	{7.730721967377889, -4.218979689345245}	{7.6352385400238685, -1.8873576196145412}	{6.631861027452922, 0.8339687339187325}	{4.818807011537697, 3.678616987175126}	{2.3735508516461037, 6.3681331492960895}
{0.23469660498815403, 13.470963602609254}	{-4.496089642203747, 14.156882129676898}	{-8.596087986613506, 13.868570293111215}	{-11.66396202392209, 12.634250064261932}	{-13.399406868222433, 10.574745307143553}	{-13.632545086599187, 7.891654696796225}	{-12.340555485868151, 4.847617836352274}	{-9.649907009969748, 1.7406062627638774}	{-5.823979078575184, -1.1252440833235777}	{-1.2372801744167128, -3.4694038024815708}	{3.661211656356239, -5.062410208677772}	{8.39199790354813, -5.748328735745414}	{12.491996247957893, -5.460016899179731}	{15.559870285266479, -4.22569667033045}	{17.295315129566823, -2.16619191321207}	{17.528453347943575, 0.5168986971352583}	{16.23646374721254, 3.5609355575792088}	{13.545815271314138, 6.667947131167606}	{9.719887339919573, 9.53379747725506}	{5.133188435761102, 11.877957196413053}
{4.739148996543075, 0.883346374056794}	{3.916222893408981, 1.6607379292871238}	{3.082753588073135, 2.1634773452541283}	{2.3203268632639267, 2.342352985131477}	{1.7035743589450338, 2.1798552549881074}	{1.2928681074065667, 1.6918905648387135}	{1.1284108981078274, 0.9262242984050291}	{1.226300948535731, -0.042194795443849964}	{1.5769560985143087, -1.1185711084294148}	{2.146051778805566, -2.197541427481881}	{2.8778809390998368, -3.173488620144137}	{3.70080704223393, -3.950880175374466}	{4.534276347569776, -4.45361959134147}	{5.2967030723789845, -4.632495231218819}	{5.913455576697877, -4.469997501075449}	{6.3241618282363445, -3.9820328109260554}	{6.488619037535084, -3.2163665444923715}	{6.39072898710718, -2.247947450643492}	{6.0400738371286025, -1.1715711376579274}	{5.4709781568373455, -0.09260081860546099}
{-3.262715120762321, -4.536577900202784}	{-2.7479343998107435, -4.008301493534925}	{-2.4119813165781836, -3.4703811397374236}	{-2.287741299574213, -2.9754722309514645}	{-2.387375827294278, -2.572019899402146}	{-2.701131977970565, -2.2995168703192013}	{-3.198297113507235, -2.184637638829515}	{-3.8302052464847725, -2.238627384521968}	{-4.535000806084486, -2.4562012149195067}	{-5.2436934923333425, -2.816061487576804}	{-5.886911527349013, -3.282982571712213}	{-6.40169224830059, -3.811258978380071}	{-6.737645331533149, -4.349179332177573}	{-6.86188534853712, -4.844088240963532}	{-6.762250820817055, -5.24754057251285}	{-6.448494670140768, -5.520043601595796}	{-5.951329534604099, -5.634922833085482}	{-5.319421401626561, -5.580933087393029}	{-4.614625842026848, -5.363359256995491}	{-3.905933155777991, -5.003498984338193}
{-9.327142617757634, -3.5728222869334827}	{-10.243820477809983, -7.4839227548663345}	{-10.299189933501362, -10.937423421041194}	{-9.487831036727023, -13.595271578298847}	{-7.889165249373078, -15.197298530689908}	{-5.659681117265233, -15.586686718136217}	{-3.0176160809835557, -14.725320111823503}	{-0.22159387462883973, -12.697515276671695}	{2.454691367208693, -9.701767878492511}	{4.74926619828225, -6.031322545219195}	{6.437521646883434, -2.0454680395689233}	{7.35419950693578, 1.8656324283639218}	{7.40956896262716, 5.319133094538781}	{6.5982100658528235, 7.9769812517964365}	{4.9995442784988775, 9.579008204187497}	{2.7700601463910326, 9.968396391633807}	{0.12799511010935594, 9.107029785321092}	{-2.6680270962453605, 7.079224950169285}	{-5.344312338082894, 4.083477551990102}	{-7.63888716915645, 0.4130322187167863}
{2.199883115248359, -6.808102910588534}	{6.670884313043825, -4.925498829576691}	{10.083198315790998, -2.526682864610159}	{12.102804053911335, 0.1535321641265317}	{12.532008446337013, 2.8527881354644653}	{11.328797976694574, 5.306863068106865}	{8.610951269012897, 7.275535009101221}	{4.644510095391368, 8.566096632319042}	{-0.18226264627526412, 9.052218774208205}	{-5.3968888099294805, 8.686316412508473}	{-10.488924454235939, 7.50420661977468}	{-14.959925652031394, 5.621602538762839}	{-18.372239654778568, 3.222786573796308}	{-20.391845392898908, 0.5425715450596162}	{-20.821049785324586, -2.1566844262783174}	{-19.617839315682147, -4.610759358920718}	{-16.899992608000474, -6.579431299915074}	{-12.933551434378943, -7.8699929231328944}	{-8.10677869271231, -8.356115065022058}	{-2.8921525290580945, -7.990212703322328}
{-0.21726850630157823, -10.815251640862499}	{4.220594403069203, -11.204353512457216}	{8.020242780628728, -10.720201307027837}	{10.809740569474538, -9.410187215728556}	{12.316032290460472, -7.4025445452206275}	{12.39167161498489, -4.893795348162367}	{11.029254438953176, -2.1295134754453104}	{8.36214364807396, 0.6197139033446817}	{4.6514146294120655, 3.0847732573781608}	{0.2602993934834599, 5.02436740200389}	{-4.381369105720319, 6.2486353483988655}	{-8.819232015091092, 6.63773721999358}	{-12.618880392650619, 6.153585014564202}	{-15.408378181496431, 4.843570923264921}	{-16.914669902482366, 2.835928252756993}	{-16.990309227006783, 0.32717905569873285}	{-15.62789205097507, -2.437102817018323}	{-12.960781260095855, -5.186330195808316}	{-9.25005224143396, -7.651389549841796}	{-4.8589370055053545, -9.590983694467525}
{4.916036006145241, 3.984145384504872}	{4.981529730327529, 5.118043948514458}	{4.829324441338146, 6.08267523494041}	{4.474319053339979, 6.783614412485981}	{3.951263967178269, 7.152248670722591}	{3.3113594590256024, 7.152493520028136}	{2.6172438406168337, 6.784324992846624}	{1.9368619848697017, 6.083781989799547}	{1.3368144083238716, 5.119438540995262}	{0.8758379485489509, 3.985691302178624}	{0.5990561932395622, 2.793519352366506}	{0.5335624690572738, 1.6596207883569218}	{0.6857677580466568, 0.6949895019309693}	{1.0407731460448237, -0.0059496756146018015}	{1.5638282322065336, -0.3745839338512118}	{2.2037327403592, -0.3748287831567567}	{2.897848358767969, -0.006660255975245111}	{3.5782302145151013, 0.6938827470718318}	{4.178277791060931, 1.6582261958761177}	{4.639254250835852, 2.791973434692755}
{-11.154955120314067, -7.376736968241571}	{-10.48140402815594, -12.378175814610717}	{-9.001449293010497, -16.457110870443252}	{-6.859959195804743, -19.214267552862633}	{-4.266557707892037, -20.379756155553473}	{-1.475105036199941, -19.839490533647794}	{1.2411519825719233, -17.646355650469662}	{3.6163271861506834, -14.015030828853789}	{5.417921876791316, -9.300975443267697}	{6.469583413725605, -3.9656340796077445}	{6.668367838361636, 1.4687328759419138}	{5.994816746203508, 6.470171722311052}	{4.514862011058066, 10.549106778143585}	{2.3733719138523117, 13.30626346056297}	{-0.22002957406039236, 14.47175206325381}	{-3.0114822457524895, 13.931486441348131}	{-5.727739264524354, 11.73835155817}	{-8.102914468103116, 8.107026736554129}	{-9.904509158743746, 3.392971350968036}	{-10.956170695678036, -1.9423700126919166}
{4.0683224820790675, -1.9334727275760897}	{5.608967905129119, -0.8629070499572649}	{6.70770786702956, 0.318112260912826}	{7.256990044938114, 1.4939788062408235}	{7.203046872207121, 2.5495905758260586}	{6.551158682427677, 3.3816169347818534}	{5.365136833587485, 3.908613346025095}	{3.7610774077511486, 4.078993729023393}	{1.8959969176587192, 3.8760800647789426}	{-0.0475375635396702, 3.319734956530619}	{-1.8792793394233422, 2.4644173397580684}	{-3.419924762473391, 1.3938516621392452}	{-4.518664724373832, 0.21283235126915434}	{-5.067946902282387, -0.9630341940588436}	{-5.014003729551394, -2.0186459636440786}	{-4.362115539771951, -2.8506723225998734}	{-3.1760936909317588, -3.377668733843116}	{-1.5720342650954224, -3.5480491168414146}	{0.29304622499700705, -3.345135452596963}	{2.2365807061953964, -2.78879034434864}
{6.598039256070651, 1.1129105906304533}	{5.322236587904754, 4.20470842022331}	{3.685296434057126, 6.569163039080939}	{1.8474539020190646, 7.974825154985528}	{-0.011390176171671484, 8.28409876620848}	{-1.7092791908135259, 7.46671001684734}	{-3.0800119352649737, 5.60267061277187}	{-3.989411538042501, 2.8744457183791914}	{-4.348459629866633, -0.45090700500697256}	{-4.122010081874469, -4.047878863726783}	{-3.332229353590259, -7.564373190672158}	{-2.056426685424364, -10.65617102026501}	{-0.41948653157673466, -13.02062563912264}	{1.4183560004613265, -14.426287755027229}	{3.2772000786520623, -14.735561366250181}	{4.975089093293916, -13.918172616889043}	{6.345821837745365, -12.054133212813573}	{7.2552214405228925, -9.325908318420893}	{7.614269532347024, -6.000555595034729}	{7.387819984354862, -2.4035837363149195}
{-1.321243813751412, 3.726255489158591}	{-1.8895539583062946, 4.327088857310587}	{-2.4768361948874875, 4.728023798645317}	{-3.025603246342476, 4.88981400762694}	{-3.4821379701899726, 4.796622331341666}	{-3.801751566795324, 4.457571020368887}	{-3.9531580304439276, 3.905848779336006}	{-3.921536641562996, 3.1954620252702144}	{-3.709982722015366, 2.3959483632150262}	{-3.339204643429188, 1.5855697609516421}	{-2.845496747499257, 0.8436517223093292}	{-2.2771866029443757, 0.24281835415733388}	{-1.6899043663631825, -0.15811658717739574}	{-1.141137314908194, -0.3199067961590196}	{-0.6846025910606974, -0.2267151198737456}	{-0.3649889944553457, 0.11233619109903392}	{-0.21358253080674205, 0.6640584321319141}	{-0.24520391968767385, 1.3744451861977063}	{-0.4567578392353042, 2.173958848252895}	{-0.8275359178214814, 2.9843374505162785}
{-9.004222458696653, -2.031291636592497}	{-10.593316773906896, -4.276380074445047}	{-11.518106518049876, -6.453046586064637}	{-11.68806682757985, -8.348223887566588}	{-11.08656080321692, -9.776398820203191}	{-9.77246804556463, -10.597771670888104}	{-7.8744211095646035, -10.731940742155127}	{-5.578214053783144, -10.165772630497758}	{-3.108615623455437, -8.954687815410207}	{-0.7073673196460009, -7.217235716717324}	{1.3904799431875947, -5.12349025137976}	{2.979574258397835, -2.878401813527213}	{3.904364002540815, -0.7017353019076227}	{4.074324312070792, 1.1934419995943282}	{3.4728182877078604, 2.62161693223093}	{2.1587255300555697, 3.442989782915844}	{0.2606785940555456, 3.5771588541828683}	{-2.0355284617259146, 3.0109907425254994}	{-4.505126892053622, 1.7999059274379485}	{-6.906375195863058, 0.062453828745066886}
{-5.054599890731787, 4.4327243363679205}	{-9.725249926280915, 2.7370591552134425}	{-13.339466731253939, 0.4588149418167471}	{-15.5434655830509, -2.178997886754078}	{-16.121503717894946, -4.918171832115854}	{-15.016998735719042, -7.490577463549471}	{-12.338067279717283, -9.644409794846277}	{-8.346941826016115, -11.16883671078668}	{-3.434301541829978, -11.914636683531562}	{1.9189701134474544, -11.808805615454693}	{7.188857611760816, -10.861702988867847}	{11.859507647309936, -9.166037807713373}	{15.47372445228296, -6.887793594316676}	{17.677723304079922, -4.2499807657458515}	{18.25576143892397, -1.510806820384076}	{17.15125645674807, 1.0615988110495413}	{14.472325000746308, 3.2154311423463477}	{10.48119954704514, 4.739858058286751}	{5.568559262859003, 5.485658031031633}	{0.21528760758157073, 5.379826962954764}
